Unnamed: 0,FID,pointid,PopDens2020,Country,ISO_A2,ISO_A3,ISO_N3,UN_A3,latDD,lonDD,APECOSM_ipsl-cm6a-lr,BOATS_ipsl-cm6a-lr,DBEM_ipsl-cm6a-lr,DBPM_ipsl-cm6a-lr,FEISTY_ipsl-cm6a-lr,EcoOcean_ipsl-cm6a-lr,EcoTroph_ipsl-cm6a-lr,MACROECOLOGICAL_ipsl-cm6a-lr,ZooMSS_ipsl-cm6a-lr,BOATS_gfdl-esm4,DBEM_gfdl-esm4,FEISTY_gfdl-esm4,EcoOcean_gfdl-esm4,EcoTroph_gfdl-esm4,MACROECOLOGICAL_gfdl-esm4,ZooMSS_gfdl-esm4
711,9565,9805154,115.61199950000001,Indonesia,ID,IDN,360,360,-8.454170199999998,118.6790009,-0.2556398829176798,-0.1913181385017837,-12.116601260884142,-5.054732945512352,-6.174794644715664,2.4604928486654742,0.7399677323439047,-0.5927976329982987,-1.156423619814828,-21.87196728574238,-14.184115482469595,-32.27088855691793,-13.204696891091816,-22.874978850505233,-20.40894251960239,-35.02764458232288
712,55369,5737687,53.52030179999999,Philippines,PH,PHL,608,608,6.8041701,126.2040024,0.4167327145133459,-5.643704000680117,-41.8315488244923,-4.548822943073372,-15.759209877008661,-7.352970709904827,-7.153880050932749,-10.631642432013644,-9.063363279277482,-34.919655570303945,-28.243360319030465,-44.41939211293422,-1.6185287814476257,-35.89176520615824,-27.230448749118395,-35.89577963852335
713,39513,8098184,82.28099820000001,Indonesia,ID,IDN,360,360,-1.79583,105.7710037,-3.3181780111070203,-10.22775718524901,-36.51911845075762,-2.079275717898277,1.325101313791155,-11.930738042753786,-6.210528522799219,-7.075552705065302,-5.345362074352932,-15.994746329344721,-71.79967139487557,-2.9295208889759783,-22.69698407178219,-8.623623225918175,-9.702151942258553,-4.9020750123836665
714,34011,8474424,60.256401100000005,Indonesia,ID,IDN,360,360,-2.9375,129.1959991,-3.52833518778205,-8.414470490064552,-56.814783910086895,-5.143383847617445,-10.837015769618386,-4.394048610815593,-5.689466044374447,-7.439220230233035,-9.416107639765404,-27.23809641103916,-25.788693400429274,-41.023111249133784,-19.029298564016685,-31.46232574796759,-28.707787009471797,-45.36966948187482
715,19231,8520638,86.2608032,Indonesia,ID,IDN,360,360,-3.0625,107.83799740000002,-3.2405211452473326,-11.571064012814624,-44.539891752259265,-0.30685511639321206,-2.4812339282197393,-22.39987956665449,-8.192585923595386,-9.74047944039379,-5.749720952399184,-16.2475439277603,-74.17823066646913,-5.011809449721694,-27.37778475435546,-10.451290903857458,-11.687657018515873,-6.58172283066124
716,55898,5558148,608.8480225,Philippines,PH,PHL,608,608,7.537499900000001,123.3789978,-3.008690188174823,-8.201244229597638,-44.274430182851766,-5.540986376101909,-17.7342713224795,-4.377022389604235,-8.192328585771403,-11.44840752002283,-10.211201235522804,-24.49552973802168,-20.529039027020445,-36.19711932960421,-12.773919915071053,-29.72445868866146,-19.164473611787226,-21.393196995905583
717,56952,5297671,335.3980103,Philippines,PH,PHL,608,608,8.5041704,117.4290009,-7.593111756312654,-7.351896980540973,-31.614013760376768,-2.646649609399465,-10.824458015179506,-11.436682918825358,-7.50006599048092,-10.109516448938605,-11.281455629458282,-18.962814314920053,-12.710580763432533,-22.438555079916554,-11.025856503548237,-15.915669201537108,-15.068180177319224,-24.347565559045968
718,36644,6117747,258.6080017,Indonesia,ID,IDN,360,360,5.2125001,96.5792007,-0.22976995654645505,1.517334528453107,-2.6374673041601238,-3.4395672715106573,1.214376483575763,-12.722150870043281,-1.3283622320697464,0.1499990995766698,3.87957666820129,-7.574201471699704,-2.2869949907677767,-11.220193355193741,-5.12990081693212,-4.233829460391803,-5.558077689861285,-14.01590679512017
719,13261,9435724,432.7479858,Indonesia,ID,IDN,360,360,-6.8125,105.9540024,5.227365985075627,12.4945097332388,-11.132894503556967,-4.307994386099356,9.716443634935024,-16.660645379884762,9.998008411938585,18.73193080350033,16.781818978045003,-8.781995617762172,-27.194765432435698,-11.856508767605622,-15.677667459863564,-3.0832943921967115,-6.269916159574884,-20.72303375414296
720,59390,4767174,106.4499969,Philippines,PH,PHL,608,608,10.4041996,119.1539993,-5.443741196902463,-5.381404204169371,-38.38203100600486,-3.7406451585484835,-7.717343616158923,-9.210697915349364,-5.2179407680015055,-7.930872069623507,-9.467514415064283,-18.428245048129067,-11.386223037258226,-24.24606788329956,-10.58454509584481,-16.867214468608594,-14.454946595291629,-23.044287365997473
