country,communityID,CoMgmtSite,dataProvider,lonDD,latDD,APECOSM_ipsl-cm6a-lr,BOATS_ipsl-cm6a-lr,DBEM_ipsl-cm6a-lr,DBPM_ipsl-cm6a-lr,FEISTY_ipsl-cm6a-lr,EcoOcean_ipsl-cm6a-lr,EcoTroph_ipsl-cm6a-lr,MACROECOLOGICAL_ipsl-cm6a-lr,ZooMSS_ipsl-cm6a-lr,BOATS_gfdl-esm4,DBEM_gfdl-esm4,FEISTY_gfdl-esm4,EcoOcean_gfdl-esm4,EcoTroph_gfdl-esm4,MACROECOLOGICAL_gfdl-esm4,ZooMSS_gfdl-esm4
Indonesia,Tejakula,Tejakula,Georgie,115.35238799999999,-8.124130000000001,-1.47585362910303,-0.19436265825366617,-34.96709306804636,-7.44733506727675,7.674030082841088,1.2172639771085514,6.346124086975702,1.4924938057803594,-7.9717038569322884,-32.345878334258785,-72.97705809124324,-38.66454032332187,-26.124559664238323,-25.875259677470698,-27.957771045631898,-37.20707917200783
Indonesia,Penuktukan,Penuktukan,Georgie,115.387895,-8.13575,-1.47585362910303,-1.5669010607770595,-34.69039147910108,-7.44733506727675,7.674030082841088,1.9824682625911416,6.346124086975702,1.4924938057803594,-7.9717038569322884,-32.43934231964817,-72.42368066520064,-38.78097796679418,-26.897598214434392,-26.07970193750703,-27.75131354232737,-36.84220832555927
Indonesia,Sambirenteng,Sambirenteng,Georgie,115.41111799999999,-8.147730000000001,-1.47585362910303,-1.230740040133338,-34.69039147910108,-7.44733506727675,7.674030082841088,1.9824682625911416,6.346124086975702,1.4924938057803594,-7.9717038569322884,-32.26568630675717,-72.42368066520064,-38.78097796679418,-26.897598214434392,-26.07970193750703,-27.75131354232737,-36.84220832555927
Indonesia,Tulamben,Tulamben,Georgie,115.606595,-8.288724,-0.7339956996159525,-1.646510123216549,-29.346658281763528,-7.51542930493172,7.922965215813682,4.020604291260921,6.285028745384635,1.6373622625216466,-7.763523064223953,-32.21204982244947,-70.27506321466082,-39.66646997361143,-24.67019091291107,-26.117085028194285,-27.677238775011404,-38.01229568945037
Phillipines,34,34,Richard,120.1302,13.84810556,-18.681776410788707,-21.13600193754038,-61.91028272807573,-8.401262595337233,-19.3748752754884,-7.423487572263077,-19.135876462615407,-28.091058671818004,-18.782101723796874,-32.729073042176246,-45.74709216110465,-41.44393476485202,-15.320584706510799,-28.907273360137065,-27.154242413149078,-24.96991081820772
Phillipines,35,35,Richard,120.14255,13.84309167,-18.681776410788707,-21.13600193754038,-61.91028272807573,-8.401262595337233,-19.3748752754884,-7.423487572263077,-19.135876462615407,-28.091058671818004,-18.782101723796874,-32.729073042176246,-45.74709216110465,-41.44393476485202,-15.320584706510799,-28.907273360137065,-27.154242413149078,-24.96991081820772
Phillipines,36,36,Richard,120.2506,13.71998611,-18.681776410788707,-21.13600193754038,-61.91028272807573,-8.401262595337233,-19.3748752754884,-7.449722866574671,-19.135876462615407,-28.091058671818004,-18.782101723796874,-31.87117541225739,-45.74709216110465,-40.44967390286131,-15.469221806264056,-28.32381586276678,-26.10008604888283,-24.688919920164142
Phillipines,38,38,Richard,120.45758889999999,13.41868611,-16.919734752497106,-20.690652832473955,-59.88770525686038,-8.512821512551449,-16.730388217321668,-7.553058311999184,-18.672411791474342,-26.476493246850286,-16.931295631029275,-31.695953888477923,-44.12132173894439,-40.3136639676888,-15.649790812069163,-28.191056333483377,-25.965294384564906,-25.00397871826007
Phillipines,37,37,Richard,120.466675,13.41654722,-16.919734752497106,-20.690652832473955,-59.88770525686038,-8.512821512551449,-16.730388217321668,-7.553058311999184,-18.672411791474342,-26.476493246850286,-16.931295631029275,-31.695953888477923,-44.12132173894439,-40.3136639676888,-15.649790812069163,-28.191056333483377,-25.965294384564906,-25.00397871826007
Phillipines,28,28,Richard,120.6157111,14.17789444,-16.89738978447689,-15.557204874860675,-57.460712698307944,-9.022432744412823,-15.200075786757438,-6.418737847573574,-18.289247655686026,-25.20582226429491,-16.049233917299887,-33.098841072455,-45.73286434861675,-43.43433457150228,-16.814628129150588,-29.58379304100748,-27.882169155485816,-23.63791575889461
Phillipines,33,33,Richard,120.6208,13.92961111,-16.89738978447689,-15.557204874860675,-58.04181109444313,-9.022432744412823,-15.200075786757438,-6.959776474841773,-18.289247655686026,-25.20582226429491,-16.049233917299887,-32.97203927144944,-44.387221687237734,-40.83595487997883,-15.577716336104109,-29.219174767297517,-26.67777030516373,-23.6877188047131
Phillipines,30,30,Richard,120.6214389,14.08906944,-16.89738978447689,-15.557204874860675,-57.460712698307944,-9.022432744412823,-15.200075786757438,-6.947414013260211,-18.289247655686026,-25.20582226429491,-16.049233917299887,-32.97203927144944,-45.73286434861675,-41.673292987552365,-16.798822173886663,-29.322665049507446,-27.101399298217476,-23.721152214865015
Phillipines,31,31,Richard,120.63234720000001,13.83263056,-16.89738978447689,-15.557204874860675,-58.04181109444313,-9.022432744412823,-15.200075786757438,-6.959776474841773,-18.289247655686026,-25.20582226429491,-16.049233917299887,-32.9727054285504,-44.387221687237734,-40.416046738723374,-15.577716336104109,-28.70386231270715,-26.077990587905454,-23.846045399568528
Phillipines,29,29,Richard,120.6341,14.08288889,-16.89738978447689,-15.557204874860675,-57.460712698307944,-9.022432744412823,-15.200075786757438,-6.947414013260211,-18.289247655686026,-25.20582226429491,-16.049233917299887,-32.97203927144944,-45.73286434861675,-41.673292987552365,-16.798822173886663,-29.322665049507446,-27.101399298217476,-23.721152214865015
Phillipines,32,32,Richard,120.63942779999999,13.83011667,-16.89738978447689,-15.557204874860675,-58.04181109444313,-9.022432744412823,-15.200075786757438,-6.959776474841773,-18.289247655686026,-25.20582226429491,-16.049233917299887,-32.07444118514285,-44.387221687237734,-40.416046738723374,-15.577716336104109,-28.70386231270715,-26.077990587905454,-23.846045399568528
Phillipines,24,24,Richard,120.9269,13.76021944,-15.028868948837392,-14.822841220840012,-57.794068080871774,-9.05041265523321,-35.22029958573953,-4.291499388838482,-18.330959638787093,-22.44274685535308,-11.781132715995291,-31.665420121448097,-43.48224293881249,-39.61100272432281,-15.233028487858224,-29.884927510231527,-26.839905860492188,-23.665755975884984
Phillipines,39,39,Richard,121.0224972,13.43512222,-13.740425963474156,-15.508252260093458,-52.327588075812606,-9.14182368938896,-34.233219867791995,-2.914486644655978,-17.54953188061641,-20.170848632940675,-8.713731562760795,-31.65532980086101,-43.44122630971595,-38.37089685990783,-15.736412007362722,-28.89729203513326,-25.688838017508296,-23.994431804105577
Phillipines,25,25,Richard,121.05803059999998,13.75710556,-13.713730399856184,-14.822841220840012,-44.9000695244304,-9.076032474680517,-34.23332290831694,-3.2939837978872566,-17.23120474562354,-19.34907141471215,-7.966892156512639,-31.65532980086101,-42.87517317001009,-39.61100272432281,-16.88251182512487,-29.884927510231527,-26.839905860492188,-23.665755975884984
Phillipines,40,40,Richard,121.09911389999999,13.40523056,-13.740425963474156,-15.552329165871726,-51.36772311025659,-9.14182368938896,-34.233219867791995,-2.914486644655978,-17.54953188061641,-20.170848632940675,-8.713731562760795,-31.65532980086101,-43.087525831713755,-37.612392003875996,-15.736412007362722,-28.750597353504403,-25.58056153847408,-24.882116113013996
Phillipines,22,22,Richard,121.21253059999998,13.63582778,-11.034205816966303,-14.822841220840012,-44.79020000289696,-8.863495460948512,-34.03368345583508,-2.914486644655978,-15.585594237219969,-16.88290424794152,-6.359302668416045,-32.01265997139375,-42.511903575614774,-38.26752002794927,-15.736412007362722,-29.310671601048877,-26.04991174383664,-24.41773911746976
Phillipines,21,21,Richard,121.24560829999999,13.63992222,-11.034205816966303,-14.822841220840012,-44.79020000289696,-8.863495460948512,-34.03368345583508,-2.914486644655978,-15.585594237219969,-16.88290424794152,-6.359302668416045,-32.01265997139375,-42.511903575614774,-38.26752002794927,-15.736412007362722,-29.310671601048877,-26.04991174383664,-24.41773911746976
Phillipines,23,23,Richard,121.29129440000001,13.62312778,-8.496615494505244,-13.024486530199342,-39.839218036352996,-8.852609492463937,-33.62007537404824,-2.914486644655978,-13.908407276392554,-14.349319837963003,-5.082566432236824,-32.01265997139375,-42.676584226333205,-38.26752002794927,-15.736412007362722,-29.310671601048877,-26.04991174383664,-24.41773911746976
Phillipines,20,20,Richard,121.40174440000001,13.6797,-8.496615494505244,-13.024486530199342,-39.839218036352996,-8.852609492463937,-33.62007537404824,-2.9880555474107617,-13.908407276392554,-14.349319837963003,-5.082566432236824,-32.01265997139375,-42.676584226333205,-38.26752002794927,-16.892413081834267,-29.310671601048877,-26.04991174383664,-24.41773911746976
Phillipines,18,18,Richard,121.42166940000001,13.75197778,-8.496615494505244,-13.024486530199342,-39.839218036352996,-8.852609492463937,-33.62007537404824,-2.9880555474107617,-13.908407276392554,-14.349319837963003,-5.082566432236824,-32.01265997139375,-42.676584226333205,-38.26752002794927,-16.892413081834267,-29.310671601048877,-26.04991174383664,-24.41773911746976
Phillipines,19,19,Richard,121.43704440000002,13.69850278,-8.496615494505244,-13.024486530199342,-39.839218036352996,-8.852609492463937,-33.62007537404824,-2.9880555474107617,-13.908407276392554,-14.349319837963003,-5.082566432236824,-32.01265997139375,-42.676584226333205,-38.26752002794927,-16.892413081834267,-29.310671601048877,-26.04991174383664,-24.41773911746976
Phillipines,1,1,Richard,123.91495559999998,9.928080556,4.098105831058518,-11.015007213082317,-35.55935564510361,-9.279816970077215,-43.73961918656436,-3.2175667563756227,-5.3051869413865855,-2.768169614966187,1.515598824880482,-34.3756819109265,-52.00418410147265,-41.13289008637205,-24.44159019166896,-42.0063263741398,-31.544615357021765,-31.95324377810086
Phillipines,2,2,Richard,123.9268361,10.06851667,4.098105831058518,-4.583922243868033,-25.153073040751906,-9.279816970077215,-43.73961918656436,-3.1028277645990587,-5.3051869413865855,-2.768169614966187,1.515598824880482,-34.767878440542155,-49.55161394752696,-39.56658657581833,-24.761070541693787,-40.864836162808956,-31.078084408622253,-32.06383157321303
Phillipines,16,16,Richard,124.59500829999999,10.08604722,21.817861844703845,-2.155192448131771,-22.658883396619277,-8.735985010518677,-43.409476747635665,-2.0724612454375513,1.1198507605977293,5.8750615971949305,3.913690874777287,-39.98872367820028,-52.20388657254743,-40.46690853271956,-21.162232380655333,-45.20151388170862,-33.29367887146073,-34.25208226968206
Indonesia,boyong pante,boyong pante,Georgie,124.34329199999999,1.110547,-36.75275169979717,-49.19455698375903,-64.20526533767452,-8.386899712714124,-49.69118643859475,-10.81532581591491,-37.41591221517886,-51.400115967032015,-36.859072143901486,-46.74603471476666,-73.42514451642586,-61.41199954796637,-21.501591234206263,-51.34990869835123,-40.41990055244498,-52.438519517726554
Indonesia,blongko,blongko,Georgie,124.35592,1.132473,-37.716645678303976,-49.19455698375903,-64.20526533767452,-8.646889093849175,-49.691477631458525,-10.81532581591491,-37.97563242411016,-51.825766216150846,-38.1336586692296,-46.74603471476666,-73.42514451642586,-61.41199954796637,-21.501591234206263,-51.34990869835123,-40.41990055244498,-52.438519517726554
