SiteNum,CoMgmtSite,Country,S_agr,S_fsh,S_agrfsh,MSL1,MSL2,lonDD,latDD,E_maize_Ssp126,E_rice_Ssp126,E_cassava_Ssp126,E_agr_Ssp126_Weighted,E_agr_Ssp126_Weighted25perc,E_agr_Ssp126_Weighted75perc,E_agr_Ssp126_PercModelAgree,E_agr_Ssp126_Unweighted,E_agr_Ssp126_Unweighted25perc,E_agr_Ssp126_Unweighted75perc,E_maize_Ssp585,E_rice_Ssp585,E_cassava_Ssp585,E_agr_Ssp585_Weighted,E_agr_Ssp585_Weighted25perc,E_agr_Ssp585_Weighted75perc,E_agr_Ssp585_PercModelAgree,E_agr_Ssp585_Unweighted,E_agr_Ssp585_Unweighted25perc,E_agr_Ssp585_Unweighted75perc,E_fish_Ssp126,E_fish_Ssp126_25perc,E_fish_Ssp126_75perc,E_fish_Ssp126_PercModelAgree,E_fish_Ssp585,E_fish_Ssp585_25perc,E_fish_Ssp585_75perc,E_fish_Ssp585_PercModelAgree
22,37,philippines,0.04414116163322298,0.01828506415010006,0.0770839205301486,0.6713889267009147,0.18626119218970452,120.466675,13.41654722,-6.26935019366516,4.46060072226275,0.011275733626031,1.63202233900423,-0.919605760867362,4.89611551682053,60,-0.5991579125921261,-3.3755723813177534,0.5876695386186702,-11.3866625944994,7.39545960908637,-2.19817220526739,3.16259779155534,-3.47613781286068,8.09876395014275,65,-2.06312506356014,-5.783916366459103,0.6524755254510092,-7.797453825,-10.83418374,-3.387638179,100,-12.15482703,-19.5091252,-2.028477315,87.5
23,38,philippines,0.03414634146341463,0.025977774570645117,0.07570869359487245,0.7497165923265354,0.05222031627441128,120.4575889,13.41868611,-6.26935019366516,4.46060072226275,0.011275733626031,1.63202233900423,-0.919605760867362,4.89611551682053,60,-0.5991579125921261,-3.3755723813177534,0.5876695386186702,-11.3866625944994,7.39545960908637,-2.19817220526739,3.16259779155534,-3.47613781286068,8.09876395014275,65,-2.06312506356014,-5.783916366459103,0.6524755254510092,-7.797453825,-10.83418374,-3.387638179,100,-12.15482703,-19.5091252,-2.028477315,87.5
24,39,philippines,0.003023583954847813,0.023743882652455514,0.031578133798540346,0.6309625760604012,0.30048893613955135,121.0224972,13.43512222,-4.86743166633403,4.09046741575778,-0.385485282882148,0.954869259071784,-1.22162038877551,3.93436416930826,45,-0.387483177819466,-2.659247228918298,0.9510001613654667,-7.64554718525192,7.35292775722373,-3.61957929158004,2.31315317971292,-2.25184154107395,5.93167708693408,60,-1.30406623986941,-4.8423363866386,0.7510872129833364,-7.172735678,-11.16045097,-3.434575231,100,-11.29561174,-19.84301974,-1.095491466,81.25
25,40,philippines,0.01715061760331113,0.04207770571785566,0.07328825021132715,-0.054365110610664444,-0.3156417409144854,121.0991139,13.40523056,-4.86743166633403,4.09046741575778,-0.385485282882148,0.954869259071784,-1.22162038877551,3.93436416930826,45,-0.387483177819466,-2.659247228918298,0.9510001613654667,-7.64554718525192,7.35292775722373,-3.61957929158004,2.31315317971292,-2.25184154107395,5.93167708693408,60,-1.30406623986941,-4.8423363866386,0.7510872129833364,-7.175625156,-11.28122116,-3.434575231,100,-11.22250343,-19.82872478,-1.095491466,81.25
26,ahus,papua new guinea,0.00125,0.11182222222222223,0.11486486486486486,-0.799854942792596,-0.43784016357946554,147.1039361,-1.945386111,-0.677797059660692,23.6876566659837,2.7164081950297,-4.93810254417459e-4,-6.45948013706458,3.40332049240436,55.00000000000001,8.575422600450903,4.004479733435031,9.955623982653687,-3.50428766075205,35.7166310233682,3.09594083421927,-3.38154677328708,-12.9807091828936,6.77319533066494,65,11.769428065611807,7.940272196605017,14.22986463301673,-23.03923003,-34.73386126,-5.221577543,100,-32.80510062,-39.94122899,-20.59453282,100
27,ambodipaka,madagascar,0.1364058924485126,0.017220052083333333,0.2740343327387862,-1.133739510704929,-0.13762954059975374,49.70477222,-15.87189722,-1.35568853159211,5.87061844441076,-3.56661491017602,3.3934956136576,2.24817556399626,4.43433979713376,100,0.3161050008808768,-1.9354790348700002,2.509810370935697,-2.3080325013627,9.34005538792502,-6.61780369828635,5.27272101950616,3.77372232362455,7.63693063610317,95,0.13807306275865652,-2.7861336070412066,4.221127850539763,-6.479342797,-12.51162392,-2.07726963,87.5,-3.339494261,-7.514066836,0.951072645,68.75
28,andra,papua new guinea,0.0031999999999999997,0.16873630387143898,0.16873630387143898,-0.7889554610252784,-0.8284992467779756,147.0006333,-1.941236111,-0.677797059660692,23.6876566659837,2.7164081950297,-4.93810254417459e-4,-6.45948013706458,3.40332049240436,55.00000000000001,8.575422600450903,4.004479733435031,9.955623982653687,-3.50428766075205,35.7166310233682,3.09594083421927,-3.38154677328708,-12.9807091828936,6.77319533066494,65,11.769428065611807,7.940272196605017,14.22986463301673,-23.05118848,-35.07554755,-5.073757515,100,-32.96060275,-39.97299088,-20.77568618,100
29,anoi_itam,indonesia,0.06740702479338843,0.029407787993510005,0.10964083175803402,0.44382981769148416,-0.6286412471342944,95.37405556,5.836305556,-3.63961950195214,3.84323954346844,0.559620813989425,2.67158769879668,-1.01185574103383,5.04847949369027,80,0.25441361850190836,-2.2234325460449424,2.7302798784998576,-6.0669744600949,8.38005881452922,0.365509458232487,6.07082421847252,3.39583051944556,10.095264431568,85,0.8928646042222688,-1.5641159272586567,3.2986585856544512,0.191704243,-2.446000868,2.772126566,68.75,-6.545300461,-13.75018132,3.430124663,62.5
30,bahoi,indonesia,0.010598578826930025,0.11956521739130435,0.16319432120674354,0.697833211276552,0.5568565004279924,125.019901,1.720518,-1.45856601448712,3.95684370538551,-0.0469496952682304,1.41836050910531,-0.803524780273438,2.0174534786982,75,0.8171093318767199,-1.2331011247716739,2.5272022550794175,-5.11126148487934,4.88564164343487,-0.850016097033261,0.424098617253197,-2.30113196590407,1.94057994686525,60,-0.35854531282591023,-2.6507317801521766,2.5915207950100587,-22.45156839,-32.70525586,-9.181999423,93.75,-31.5462104,-42.18367728,-21.84990603,100
31,baia,papua new guinea,0.08331583000770147,0.034722222222222224,0.11435506079488436,-0.9572854762067617,-0.812380507666325,151.5393806,-4.928161111,-3.37732411710943,19.7917230327472,-3.88923622424291,-2.91172534775746,-5.45572411081267,0.270219092470718,75,4.175054230464953,1.7754160796131135,7.5294395213534475,-5.12426195976174,34.9777615740529,-2.70140172533377,-4.43063797660336,-11.0213129367205,1.83853612365884,65,9.050699296319129,3.4287244256126863,14.138547349363163,-24.10634718,-31.98800826,-10.75484637,100,-33.33278967,-35.71878298,-25.18938455,100
32,balohanvillage,indonesia,0.019287986046988816,0.04275503573749188,0.0815766635872456,0.6105369301677036,-0.7076545666939261,95.34780556,5.827722222,-3.63961950195214,3.84323954346844,0.559620813989425,2.67158769879668,-1.01185574103383,5.04847949369027,80,0.25441361850190836,-2.2234325460449424,2.7302798784998576,-6.0669744600949,8.38005881452922,0.365509458232487,6.07082421847252,3.39583051944556,10.095264431568,85,0.8928646042222688,-1.5641159272586567,3.2986585856544512,0.191704243,-2.446000868,2.772126566,68.75,-6.545300461,-13.75018132,3.430124663,62.5
33,bentenan,indonesia,0.004797149122807017,0.17511506308901345,0.22874937526431124,0.6402077262137021,0.1043852107439375,124.899355,1.00966,-1.468211419181,4.00532309000858,0.74143500464237,1.55737602641125,-0.729504442978458,2.39196466282786,70,1.0928488918233166,-1.0062816420393301,2.6182198124736153,-4.76483554268629,4.89933467789111,-0.66930166645959,0.817308395466114,-1.83894853385552,2.38418530496199,60,-0.17826751041825675,-2.6019706594850165,2.632257229876358,-20.94109637,-31.8010585,-9.175121591,93.75,-30.2900676,-40.12796355,-21.13062352,100
34,blongko,indonesia,0.09411307652150688,0.020476299098533303,0.18517804097064158,0.527259745370011,-0.3529298544816995,124.35592,1.132473,-1.45698367278952,3.69782768876866,0.627315153676802,1.53331811760298,-0.472757758076694,2.40392494648482,75,0.9560530565519807,-1.0556393365448773,2.6437095735193235,-4.70732477573758,4.51160611159865,-0.385762349345958,0.814259809948917,-2.05726432992468,2.53645822811941,65,-0.19382700449496262,-2.6421948447226433,2.534463496200514,-20.1744497,-30.94903776,-8.713858795,93.75,-29.57490868,-39.34652953,-19.58336842,100
35,bondalem,indonesia,0.019736842105263157,0.1431578947368421,0.18488184747583244,1.0615858056635015,0.8743968810079898,115.317217,-8.10926,-3.69954148436554,3.62003638538446,0.105925948139366,0.161040391739418,-2.20253251855269,1.72086427627606,50,0.008806949719428686,-2.028491400448305,1.1628358728035781,-7.10577173627304,6.77372798329948,-0.72674441805428,0.502507056970199,-3.13205209463308,3.72571490104368,55.00000000000001,-0.3529293903426132,-3.1565769361404303,2.1167284345012716,-6.53448107,-14.05373619,1.457112293,62.5,-11.82388318,-20.20413655,1.663901072,62.5
36,boyong pante,indonesia,0.035201459332207606,0.0972985347985348,0.21340811965811965,0.694113811071939,0.46289140946363894,124.343292,1.110547,-1.45698367278952,3.69782768876866,0.627315153676802,1.53331811760298,-0.472757758076694,2.40392494648482,75,0.9560530565519807,-1.0556393365448773,2.6437095735193235,-4.70732477573758,4.51160611159865,-0.385762349345958,0.814259809948917,-2.05726432992468,2.53645822811941,65,-0.19382700449496262,-2.6421948447226433,2.534463496200514,-20.03648242,-30.94903776,-8.713858795,93.75,-29.35666438,-39.34652953,-18.82497432,100
37,buerawangvillage,indonesia,0.025302590503313432,0.07362046985977054,0.13456377676762143,0.8569480619095018,-0.3011883648647102,95.34041667,5.786138889,-3.63961950195214,3.84323954346844,0.559620813989425,2.67158769879668,-1.01185574103383,5.04847949369027,80,0.25441361850190836,-2.2234325460449424,2.7302798784998576,-6.0669744600949,8.38005881452922,0.365509458232487,6.07082421847252,3.39583051944556,10.095264431568,85,0.8928646042222688,-1.5641159272586567,3.2986585856544512,0.195304097,-2.343626441,2.772126566,68.75,-6.564190447,-13.78684779,3.430124663,62.5
38,dabanot,papua new guinea,0.15471428571428572,0.012060546875000001,0.24174107142857146,-0.8701510292266529,-0.4510781697909308,150.5280333,-2.505383333,-3.09813857907197,18.3047641776905,-1.73253611877662,-2.82714618829639,-4.22984560036005,0.227241640372496,70,4.491363159947304,2.3017163647581964,6.277188081811889,-3.67740293145933,32.3500192763604,-3.21770721635187,-1.98508791394471,-9.50893166521779,1.31194188582151,50,8.484969709516399,3.259610386756443,13.254522354981296,-22.19254738,-30.41908017,-7.56649257,100,-30.75153114,-34.08452654,-21.64520776,100
39,dauphin,madagascar,0.030882003798670468,0.11216532489099083,0.36402885615944924,-1.4846796672269338,0.6085660939011384,47.78710556,-14.02934167,-0.9098085780226,5.8609693274254004,-3.70229719457324,3.87164703148739,1.53599505661118,5.50974888022371,85,0.41628785160985354,-2.1864785762736934,3.410694504307757,-2.31595665047329,8.45132643311725,-6.02619029792273,6.06522004338859,3.09687597039086,9.14482228241084,90,0.036393161573743615,-3.6826276072214266,5.151252389551597,-5.6195511400000004,-11.49177042,-0.759125302,81.25,-5.292951018,-7.943079606,-0.039808884,75
40,fimihara,madagascar,0.0014478114478114479,0.08102388682745826,0.0852744900528834,-0.9175216825338349,0.11977077101278098,43.61593333,-23.14531944,0.0555092894507284,3.16783683998108,-3.99963732800963,1.23313840580249,-1.39840938103494,4.8641085352787,55.00000000000001,-0.25876373285927384,-3.05913030449013,3.7034568073502667,-1.98531754268987,8.0605588109156,-5.28597945640003,2.68245707936596,0.254440315684177,8.92167584595338,80,0.2630872706085667,-2.3123783536698768,5.61861069733431,-8.926722279,-16.60749431,-2.805574805,93.75,-7.184972009,-16.10453425,1.016702769,68.75
41,iboih,indonesia,0.012985958931904878,0.009861932938856016,0.021032389880415843,0.9133238100788145,-0.6989825759226714,95.25813889,5.870611111,-3.63961950195214,3.84323954346844,0.559620813989425,2.67158769879668,-1.01185574103383,5.04847949369027,80,0.25441361850190836,-2.2234325460449424,2.7302798784998576,-6.0669744600949,8.38005881452922,0.365509458232487,6.07082421847252,3.39583051944556,10.095264431568,85,0.8928646042222688,-1.5641159272586567,3.2986585856544512,0.214581719,-2.343626441,2.772126566,68.75,-6.5761312179999996,-13.73223605,3.430124663,62.5
42,ieu_meulee,indonesia,0.010006751543209876,0.030242626886145405,0.051453519046111645,1.0787349284988532,0.3812626099076731,95.33493056,5.896319444,-3.63961950195214,3.84323954346844,0.559620813989425,2.67158769879668,-1.01185574103383,5.04847949369027,80,0.25441361850190836,-2.2234325460449424,2.7302798784998576,-6.0669744600949,8.38005881452922,0.365509458232487,6.07082421847252,3.39583051944556,10.095264431568,85,0.8928646042222688,-1.5641159272586567,3.2986585856544512,0.210981864,-2.446000868,2.772126566,68.75,-6.557241232,-13.69556959,3.430124663,62.5
43,jaboivillage,indonesia,0.06375,0.01928374655647383,0.09070294784580499,0.5530571879660429,-0.5326568848444314,95.34391667,5.79525,-3.63961950195214,3.84323954346844,0.559620813989425,2.67158769879668,-1.01185574103383,5.04847949369027,80,0.25441361850190836,-2.2234325460449424,2.7302798784998576,-6.0669744600949,8.38005881452922,0.365509458232487,6.07082421847252,3.39583051944556,10.095264431568,85,0.8928646042222688,-1.5641159272586567,3.2986585856544512,0.195304097,-2.343626441,2.772126566,68.75,-6.564190447,-13.78684779,3.430124663,62.5
44,jambiani,tanzania,0.04682926829268293,0.08023106546854941,0.26395991977007704,-0.06974114811206858,0.30806126503033016,39.54517222,-6.315327778,-0.756814779289784,3.83548067814807,-0.78664594766686,0.370940094454421,-4.29326762589531,3.00557130456424,65,0.764006650397142,-2.6337748065290683,2.462287955191184,-3.94951008129063,7.71076041413954,-4.07494483275161,-2.48674303197249,-11.1277503977783,0.789949472536237,50,-0.10456483330090001,-6.13043727085765,2.8895348107137657,-10.18939365,-13.47280618,-6.530290891,93.75,-8.205322838,-8.278909556,-4.438857348,93.75
